#,player,years,peak elo,set margin
175,Benoit Paire,2007–2026,"1,951",-0.31
176,Ilya Ivashka,2013–2026,"1,951",+0.02
177,Marc Rosset,1988–2006,"1,950",+0.24
178,Joao Fonseca,2022–2026,"1,949",—
179,Learner Tien,2023–2026,"1,949",—
180,Cristian Garin,2012–2026,"1,948",0.00
181,Dominik Hrbaty,1996–2014,"1,948",+0.16
182,Jakob Hlasek,1983–1997,"1,948",+0.20
183,Goran Prpic,1983–2000,"1,948",+0.12
184,Flavio Cobolli,2020–2026,"1,947",-0.02
185,Guido Pella,2007–2024,"1,945",-0.26
186,Jordan Thompson,2013–2026,"1,944",-0.22
187,Jimmy Connors,1973–1997,"1,944",—
188,Miomir Kecmanovic,2017–2026,"1,943",0.00
189,Donald Young,2004–2024,"1,942",-0.72
190,Nicolas Jarry,2014–2026,"1,942",-0.09
191,Joachim Johansson,2000–2014,"1,942",+0.37
192,Jiri Novak,1993–2008,"1,940",+0.35
193,Andrei Chesnokov,1984–2001,"1,939",+0.16
194,Jonas Svensson,1983–1999,"1,938",+0.22
195,Lloyd Harris,2015–2026,"1,938",-0.29
196,Guillermo Garcia-Lopez,2002–2022,"1,938",-0.29
197,Thomaz Bellucci,2005–2023,"1,937",-0.24
198,Leonardo Mayer,2003–2022,"1,937",-0.08
199,Alexei Popyrin,2017–2026,"1,936",-0.34
200,Pat Cash,1982–1998,"1,936",—
