player2,round,player1,gender,file,tournament,date
Kiki Bertens,RR,Aryna Sabalenka,W,20200208-W-Fed_Cup_Qualifiers-RR-Aryna_Sabalenka-Kiki_Bertens.html,Fed Cup Qualifiers,2020-02-08
Maria Sakkari,R32,Aryna Sabalenka,W,20200218-W-Dubai-R32-Aryna_Sabalenka-Maria_Sakkari.html,Dubai,2020-02-18
Elise Mertens,R16,Aryna Sabalenka,W,20200219-W-Dubai-R16-Aryna_Sabalenka-Elise_Mertens.html,Dubai,2020-02-19
Simona Halep,QF,Aryna Sabalenka,W,20200220-W-Dubai-QF-Aryna_Sabalenka-Simona_Halep.html,Dubai,2020-02-20
Aryna Sabalenka,R32,Anett Kontaveit,W,20200225-W-Doha-R32-Anett_Kontaveit-Aryna_Sabalenka.html,Doha,2020-02-25
Maria Sakkari,R16,Aryna Sabalenka,W,20200226-W-Doha-R16-Aryna_Sabalenka-Maria_Sakkari.html,Doha,2020-02-26
Saisai Zheng,QF,Aryna Sabalenka,W,20200227-W-Doha-QF-Aryna_Sabalenka-Saisai_Zheng.html,Doha,2020-02-27
Svetlana Kuznetsova,SF,Aryna Sabalenka,W,20200228-W-Doha-SF-Aryna_Sabalenka-Svetlana_Kuznetsova.html,Doha,2020-02-28
Petra Kvitova,F,Aryna Sabalenka,W,20200229-W-Doha-F-Aryna_Sabalenka-Petra_Kvitova.html,Doha,2020-02-29
Madison Brengle,R32,Aryna Sabalenka,W,20200810-W-Lexington-R32-Aryna_Sabalenka-Madison_Brengle.html,Lexington,2020-08-10
Aryna Sabalenka,R16,Coco Gauff,W,20200812-W-Lexington-R16-Coco_Gauff-Aryna_Sabalenka.html,Lexington,2020-08-12
Catherine Cartan Bellis,R32,Aryna Sabalenka,W,20200824-W-Cincinnati-R32-Aryna_Sabalenka-Catherine_Cartan_Bellis.html,Cincinnati,2020-08-24
Aryna Sabalenka,R16,Jessica Pegula,W,20200825-W-Cincinnati-R16-Jessica_Pegula-Aryna_Sabalenka.html,Cincinnati,2020-08-25
Oceane Dodin,R128,Aryna Sabalenka,W,20200901-W-US_Open-R128-Aryna_Sabalenka-Oceane_Dodin.html,US Open,2020-09-01
Victoria Azarenka,R64,Aryna Sabalenka,W,20200903-W-US_Open-R64-Aryna_Sabalenka-Victoria_Azarenka.html,US Open,2020-09-03
Ellen Perez,R32,Aryna Sabalenka,W,20200921-W-Strasbourg-R32-Aryna_Sabalenka-Ellen_Perez.html,Strasbourg,2020-09-21
Anna Blinkova,R16,Aryna Sabalenka,W,20200923-W-Strasbourg-R16-Aryna_Sabalenka-Anna_Blinkova.html,Strasbourg,2020-09-23
Katerina Siniakova,QF,Aryna Sabalenka,W,20200924-W-Strasbourg-QF-Aryna_Sabalenka-Katerina_Siniakova.html,Strasbourg,2020-09-24
Aryna Sabalenka,SF,Elina Svitolina,W,20200925-W-Strasbourg-SF-Elina_Svitolina-Aryna_Sabalenka.html,Strasbourg,2020-09-25
Jessica Pegula,R128,Aryna Sabalenka,W,20200929-W-Roland_Garros-R128-Aryna_Sabalenka-Jessica_Pegula.html,Roland Garros,2020-09-29
